artist_name,track_name
YoungBoy Never Broke Again,Murder (feat. 21 Savage) - Remix
Russ,Back To You
Knox Hamilton,Work It Out
Ariana Grande,My Everything
Adam Lambert,Whataya Want from Me
Pink Floyd,Us and Them
Usher,Lemme See
Young Thug,Harambe
MadeinTYO,Too Quick
Iggy Azalea,Bounce
The Game,Ryda (feat. Dej Loaf)
XXXTENTACION,Save Me
Tyga,Make It Nasty
21 Savage,Whole Lot
Seether,Country Song
Chamillionaire,Ridin' Dirty (feat. Chamillionaire)
Toby Keith,Drinks After Work
Nipsey Hussle,Fuck Donald Trump
Wiz Khalifa,Wake Up
Breakbot,Baby I'm Yours (feat. Irfane)
dvsn,Think About Me
Mariah Carey,Shake It Off
Danzig,Mother
Red Hot Chili Peppers,Go Robot
Michael Jackson,The Way You Make Me Feel - Single Version
Ace Hood,Hustle Hard Remix
MIKA,Popular Song
Alessia Cara,Outlaws
Nelly,Pimp Juice
Trippie Redd,Love Scars
*NSYNC,Pop - Radio Version
Priscilla Ahn,Dream
Peter Frampton,Do You Feel Like We Do - Live
Chris Brown,Autumn Leaves
Rae Sremmurd,YNO
Charlie Puth,Suffer
Daft Punk,Around The World
City High,What Would You Do?
Halsey,Not Afraid Anymore
Madonna,Like A Prayer
Wu-Tang Clan,Gravel Pit
Imagine Dragons,Who We Are
Childish Gambino,II. WORLDSTAR
James Blunt,Bonfire Heart
Destiny's Child,Lose My Breath
Future,Testify
Thomas Rhett,When You Look Like That
Big Sean,Switch Up
J. Cole,For Whom The Bell Tolls
Lil Uzi Vert,Grab the Wheel
Galantis,Love On Me
Famous Dex,Pick It Up (feat. A$AP Rocky)
Thomas Rhett,Sixteen
alt-J,Something Good
Cage The Elephant,Take It or Leave It
The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered
David Bowie,Golden Years - 2016 Remastered Version
Future,Solo
Lorde,Buzzcut Season
Speaker Knockerz,U Mad Bro (feat. Kevin Flum)
Will Smith,Wild Wild West - Album Version With Intro
"Crosby, Stills & Nash",Southern Cross - Remastered
Tayler Buono,Technically Single
Sheryl Crow,If It Makes You Happy
Kygo,It Ain't Me - Tiësto's AFTR:HRS Remix
Dido,White Flag
Luke Bryan,Light It Up
The Lovin' Spoonful,Summer in the City - Remastered
Chris Brown,Next To You
Lil Wayne,John
Lauren Alaina,Next Boyfriend
5 Seconds of Summer,Waste The Night
Ariana Grande,Moonlight
Taylor Swift,I'm Only Me When I'm With You
Logic,Buried Alive
Chiddy Bang,Mind Your Manners (feat. Icona Pop)
NONONO,Pumpin Blood - The Jane Doze Remix
David Nail,Let It Rain
Tone-Loc,Wild Thing
New Edition,Can You Stand The Rain
Flux Pavilion,Cracks Ft. Belle Humble - Flux Pavilion Remix
The Strokes,Hard To Explain
"Crosby, Stills & Nash",Suite: Judy Blue Eyes - Remastered
Post Malone,Congratulations - Remix
One Direction,You & I
Kendrick Lamar,Rigamortus
Kings of Leon,Wait for Me
Bryson Tiller,Somethin Tells Me
Coldplay,Adventure Of A Lifetime - Matoma Remix
Ed Sheeran,All Of The Stars
The Rolling Stones,Miss You - Remastered
Dj Laz,"Move, Shake, Drop"
A Tribe Called Quest,We The People....
KC & The Sunshine Band,Give It Up
LoveRance,UP!
Calvin Harris,Prayers Up
Three Dog Night,One - Single Version
High Highs,Open Season
The Weeknd,Rockin’
Jonas Brothers,When You Look Me In The Eyes
The Killers,Shot At The Night
Porter Robinson,Divinity
Turnpike Troubadours,7 & 7
Witt Lowry,Kindest Regards
James Taylor,You've Got A Friend
Future,Might as Well
Joey Bada$$,LAND OF THE FREE
Wilson Pickett,Land Of 1000 Dances
Justin Bieber,Trust
Flyleaf,All Around Me
Phil Collins,On My Way
Nate Dogg,Shake That (Remix)
Hozier,In A Week
Skylar Grey,"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack"
Miranda Lambert,All Kinds of Kinds
Yusuf / Cat Stevens,Peace Train
J. Cole,Let Nas Down
Scorpions,No One Like You
Bon Iver,Beach Baby
Goodwill,Take You Higher - Radio Edit
Foster The People,Miss You
Lil Uzi Vert,Super Saiyan
Daya,U12
5 Seconds of Summer,Hey Everybody!
The Ready Set,Give Me Your Hand (Best Song Ever)
Led Zeppelin,The Rain Song
Young Thug,Gangster Shit
A R I Z O N A,Cross My Mind
Elton John,Goodbye Yellow Brick Road - Remastered 2014
"Tyler, The Creator",911 / Mr. Lonely
Glass Animals,Season 2 Episode 3
Luke Bryan,The Sand I Brought To The Beach
New Politics,Harlem
Seether,Careless Whisper
One Direction,I Want
OneRepublic,If I Lose Myself
Aerosmith,Janie's Got A Gun
Fetty Wap,Different Now
Flume,Insane
Dave Matthews Band,The Space Between
Rixton,Wait On Me
Lenny Kravitz,It Ain't Over 'Til It's Over
Coldplay,Every Teardrop Is a Waterfall
Imagine Dragons,Amsterdam
Goldfinger,99 Red Balloons
Aly & AJ,Walking On Sunshine
Kelly Clarkson,Heartbeat Song
Geto Boys,Damn It Feels Good to Be a Gangsta
David Bowie,Changes - 2015 Remastered Version
Rascal Flatts,Feels Like Today
Fall Out Boy,Save Rock And Roll
St. Lucia,Dancing On Glass
JAY Z,Interlude
Jhene Aiko,Maniac
Sublime,Caress Me Down
Parra for Cuva,Wicked Games
Wiz Khalifa,Hopes & Dreams
Redbone,Come and Get Your Love
Phil Collins,I Don't Care Anymore - 2016 Remastered
The 1975,If I Believe You
B.o.B,"Airplanes, Part II (feat Eminem & Hayley Williams of Paramore) - Explicit Album Version"
Lil Wayne,Gonorrhea
Michael Franti & Spearhead,I’m Alive (Life Sounds Like)
Train,"Save Me, San Francisco"
Starland Vocal Band,Afternoon Delight
Pleasure P,Boyfriend #2 - Explicit Album Version
Ella Vos,White Noise
Green Day,"Boulevard Of Broken Dreams - feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, Company [Album Version]"
Bowling For Soup,Ohio (Come Back To Texas)
Maren Morris,Rich
Rae Sremmurd,Unlock The Swag
Future,POA
21 Savage,FaceTime
Bruce Springsteen,Thunder Road
A Day To Remember,Have Faith In Me
Michl,Die Trying
Deana Carter,Strawberry Wine
Ellie Goulding,Tessellate - Bonus Track
Coldplay,Hurts Like Heaven
Fiona Apple,Criminal
The Script,If You Ever Come Back
Hannah Montana,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version"
Gorilla Zoe,I Got It - feat. Big Block [Explicit Album Version]
JAY Z,Heart Of The City (Ain't No Love)
Blended Babies,Family (Blended Babies Remix) [feat. Chance the Rapper & Vic Mensa]
Gucci Mane,Out Do Ya
Wiz Khalifa,Stayin Out All Night
Axwell /\ Ingrosso,Sun Is Shining
Justin Bieber,Overboard
Billy Joel,You May Be Right
Eminem,Hailie's Song
A Tribe Called Quest,Scenario - LP Mix
Shinedown,Bully
John Michael Montgomery,Sold [The Grundy County Auction Incident]
Kenny Chesney,Living in Fast Forward
Dierks Bentley,I'll Be The Moon
Three 6 Mafia,Lolli Lolli (Pop That Body) - Explicit Album Version
Volbeat,Heaven Nor Hell
Justin Bieber,Runaway Love
Chris Cagle,What A Beautiful Day
Miley Cyrus,Butterfly Fly Away
Dua Lipa,Blow Your Mind (Mwah)
"Crosby, Stills, Nash & Young",Our House
Frank Ocean,Bad Religion
Theory of a Deadman,Angel
The Beatles,Sgt. Pepper's Lonely Hearts Club Band - Remastered
Lil Yachty,King Of Teens
Grandtheft,Easy Go
Simple Plan,Addicted
City and Colour,The Girl
Aly & AJ,Like Whoa
Vance Joy,Great Summer
The 1975,She Way Out
Kip Moore,Wild Ones
Lupe Fiasco,Words I Never Said (feat. Skylar Grey) - feat. Skylar Grey
Toby Keith,You Shouldn't Kiss Me Like This
Soundgarden,Fell On Black Days
High School Musical Cast,The Boys Are Back
The xx,Crystalised
NERO,Promises - Skrillex & Nero Remix
Tyler Farr,C.O.U.N.T.R.Y.
The Weeknd,D.D.
Carnage,Mase in '97
Joe Nichols,Hard to Be Cool
Jodi Benson,"Part of Your World - From ""The Little Mermaid""/ Soundtrack Version"
Gary Allan,Songs About Rain
Granger Smith,Happens Like That
Prince Royce,Stuck On a Feeling
O.T. Genasis,Push It (feat. Remy Ma & Quavo) - Remix
Noah And The Whale,5 Years Time
Clyde Carson,Slow Down
C2C,Down The Road
Flo Rida,Can't Believe It (feat. Pitbull)
Meek Mill,Chiraq
Bruno Major,Easily
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version
Mobb Deep,"Shook Ones, Pt. II"
CNCO,Reggaetón Lento (Bailemos)
Camila Cabello,I Have Questions
Paramore,crushcrushcrush
Mark Morrison,Return Of The Mack - C & J Street Mix
Alesso,Heroes (we could be) - Branchez Remix
Afrojack,Gone
Jeezy,My President
P!nk,Blow Me (One Last Kiss)
Disclosure,Omen
TK Kravitz,Space (feat. Sexton)
Ginuwine,In Those Jeans - Radio Edit
Rittz,In My Zone
Pretty Ricky,Your Body
Tyga,Wait For A Minute
Paula DeAnda,Walk Away (Remember Me)
Kygo,For What It's Worth
Magic Man,Paris
112,Only You-Bad Boy Remix (feat. The Notorious B.I.G. & Mase)
Vanessa Hudgens,Say Ok
DJ Snake,Talk
Clay Walker,If I Could Make A Living
Metallica,The Unforgiven
Beyoncé,Drunk in Love Remix
Scissor Sisters,Take Your Mama
2 Chainz,Smell Like Money
Ben Rector,When I'm With You
Hippo Campus,Suicide Saturday
Will Claye,IDGAF
Justin Bieber,Love Me
Porter Robinson,Sad Machine
Rihanna,Man Down
Depeche Mode,Enjoy The Silence - Single Mix
1way Frank,Ayegirl
Rihanna,What Now
Zac Brown Band,Where The Boat Leaves From
Peter Bjorn and John,Second Chance
Chicago,You're The Inspiration - 2006 Remastered Version
Olivia Newton-John,Physical
John Legend,Tonight (Best You Ever Had)
Pretty Lights,Finally Moving
Panic! At The Disco,Golden Days
Daddy Yankee,Limbo
Elton John,Philadelphia Freedom
Melanie Martinez,Play Date
Jon Langston,Forever Girl
Little Big Town,Pain Killer
Selena Gomez,Me & My Girls
Eve 6,Here's to the Night
Danity Kane,Damaged
Miguel,Simple Things (Remix)
Usher,Nice & Slow
Young Thug,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)"
Jason Aldean,The Truth
Brad Paisley,Water
Nicki Minaj,Changed It
Flo Rida,In The Ayer (feat. will.I.am) - feat. will.I.am Album Version
Jonas Brothers,Hold On
Icona Pop,Emergency
mansionz,Gorgeous
Radiohead,Fake Plastic Trees
Bad Company,Ready For Love - 2015 Remastered Version
Carrie Underwood,Don't Forget to Remember Me
Everclear,Wonderful
Future,100it Racks
MadeinTYO,Mr. Tokyo
Preme,Realest In the City
Jason Aldean,Show You Off
Dirty Heads,That's All I Need
A$AP Ferg,Dump Dump
The Lumineers,Gale Song
One Direction,Fireproof
Jacquees,Come Thru
The Internet,Girl
What So Not,Jaguar
Jorge Quintero,300 Violin Orchestra
Big Will,Dabb On Em
J. Cole,St. Tropez
Michael Bublé,Home
Bastille,Of The Night
ODESZA,Say My Name (feat. Zyra) - Hermitude Remix
Mario,Just a Friend 2002 - Radio Edit
Lil Durk,Money Walk
Mike Stud,Show Me / Paranoid (Remix)
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit
Ludacris,Act A Fool
Taylor Swift,Red
Skillet,Awake and Alive
John Mayer,The Age of Worry
Atlas Genius,Molecules - Single Version
Eric Clapton,Tears In Heaven
Banks,Waiting Game
Steve Miller Band,The Joker
Britney Spears,Lucky
Melanie Martinez,Sippy Cup
Muse,Time Is Running Out
Yusuf / Cat Stevens,Father And Son
Vic Mensa,Down On My Luck
Chase Rice,50 Shades of Crazy
Ryan Caraveo,Paradise
Avicii,Pure Grinding
Harry Styles,Two Ghosts
Party Favor,Bap U
Boyz II Men,Motownphilly
The Chainsmokers,Don't Let Me Down - W&W Remix
Rascal Flatts,Stand (Rascal Flatts)
Jidenna,Bambi
R.E.M.,Everybody Hurts
Wiz Khalifa,Let It Go - feat. Akon
Daryl Hall & John Oates,She's Gone
Logic,Stainless
The B-52's,Love Shack - Edit
Imagine Dragons,Shots
2 Chainz,Blue Cheese
Taio Cruz,Higher
POWERS,Sunshine
Enrique Iglesias,DUELE EL CORAZON
Enrique Iglesias,Finally Found You
Afrojack,Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix
Blake Shelton,Home
The Smiths,Asleep - 2011 Remastered Version
Coldplay,Speed Of Sound
Jordan Rager,Now That I Know Your Name
3LAU,How You Love Me - Radio Edit
PnB Rock,There She Go
Lil Wayne,Two Shots
Wiz Khalifa,Paperbond
Jonas Blue,By Your Side
Red Hot Chili Peppers,Road Trippin'
Corey Smith,Twenty-One
Usher,Trading Places
Scotty McCreery,Water Tower Town
Iron Maiden,Run to the Hills - 1998 Remastered Version
Kevin Gates,In My Feelings
Drake,Connect
Mumford & Sons,Reminder
Lost Frequencies,Are You With Me - Radio Edit
Tracy Lawrence,Paint Me a Birmingham
High School Musical Cast,We're All In This Together
New Edition,Candy Girl
Kranium,Nobody Has To Know (feat. Ty Dolla $ign) - Major Lazer and KickRaux Remix
Ugly God,Bitch!
Billy Joel,Just the Way You Are
STRFKR,Girls Just Want to Have Fun
Keys N Krates,Dum Dee Dum
Daddy Yankee,Rompe
Ben Folds Five,Brick
Shakira,Me Enamoré
Justin Timberlake,Pusher Love Girl
Liz Phair,Why Can't I?
Dio,Holy Diver
Khalid,Reasons
Mr. Mister,Broken Wings
Ashanti,Happy
ILoveMakonnen,Trust Me Danny
Sia,The Greatest
blackbear,Waste Away (feat. Devon Baldwin)
Jessie J,Masterpiece
Pharrell Williams,Frontin' - Club Mix
Keith Urban,You Gonna Fly
Pepper,Stone Love
YG,"Left, Right"
The Beach Boys,Don't Worry Baby
James Bay,Need The Sun To Break
Eagles,Tequila Sunrise
The Beatles,"Ob-La-Di, Ob-La-Da - Remastered"
Lee Greenwood,God Bless The U.S.A.
Kanye West,Gorgeous
Luke Bryan,Wild Weekend
The Black Keys,Next Girl
Russ,I'm Here
Angus & Julia Stone,Big Jet Plane
Hopsin,Sag My Pants
Christina Aguilera,Lady Marmalade
Steve Aoki,Boneless
Melanie Martinez,Training Wheels
Dobie Gray,Drift Away
The Doors,Love Her Madly
High School Musical Cast,Just Wanna Be With You
The Beatles,Love Me Do - Remastered
Migos,Dab of Ranch - Recorded at Spotify Studios NYC
Luke Bryan,Faded Away
Caroline Pennell,Lovesick (feat. Felix Snow)
NAV,My Mind
Kool & The Gang,Jungle Boogie
Avicii,The Days
Ayo Jay,Your Number
Vertical Horizon,Best I Ever Had (Grey Sky Morning)
Keith Urban,Tonight I Wanna Cry
New Kids On The Block,Step by Step
Chase Rice,Everybody We Know Does
Lil Yachty,FYI (Know Now)
alt-J,Fitzpleasure
Lana Del Rey,Million Dollar Man
Bas,Housewives
Mase,Feel So Good
2Pac,Ghetto Gospel
Tame Impala,Let It Happen
Snakehips,Cruel
Kenny Chesney,You Save Me
Dierks Bentley,I Wanna Make You Close Your Eyes
Nickelback,Savin' Me
Deorro,I Can Be Somebody
Monica,Angel of Mine - Radio Mix
Jack Johnson,Bubble Toes
Drake,Under Ground Kings
Zac Brown Band,Roots
Dan + Shay,First Time Feeling
Rudimental,Waiting All Night (feat. Ella Eyre)
HAIM,Falling
The Band Perry,Don’t Let Me Be Lonely
Jacquees,B.E.D.
A$AP Rocky,M'$
Big Sean,Voices In My Head/Stick To The Plan
Halsey,I Walk The Line
SoMo,Make Up Sex
EDEN,drugs
Jason Aldean,Country Boy's World
Electric Light Orchestra,Telephone Line
J. Cole,Villuminati
Sam Hunt,I Met A Girl - Acoustic Mixtape
M83,Wait
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
Labrinth,Jealous
Rich Chigga,Glow Like Dat
Jason Derulo,Try Me (feat. Jennifer Lopez & Matoma)
Ludacris,Rest Of My Life
My Chemical Romance,Na Na Na [Na Na Na Na Na Na Na Na Na]
Tez Cadey,Seve - Radio Edit
Miley Cyrus,Who Owns My Heart
Cody Jinks,Loud and Heavy
Roxette,It Must Have Been Love
Queens of the Stone Age,No One Knows
Nickelback,Never Gonna Be Alone
Jason Aldean,Heartache That Don't Stop Hurting
Kaleo,All The Pretty Girls
Diplo,Revolution - feat. Faustix & Imanos and Kai
John Mayer,I'm Gonna Find Another You
Calvin Harris,Let's Go
Robin Thicke,Give It 2 U
Fabolous,Into You [Main Mix feat. Tamia]
Jagged Edge,Let's Get Married
Hanson,MMMBop - Single Version
The Mowgli's,"Say It, Just Say It"
Eli Young Band,Say Goodnight
War,Low Rider
Joey Bada$$,ROCKABYE BABY (feat. ScHoolboy Q)
Three Days Grace,Pain
Colby O'Donis,What You Got - Main
NF,Mansion
Bad Suns,Dancing On Quicksand
KAYTRANADA,Drive Me Crazy
Houston,I Like That
Foals,Mountain At My Gates
Led Zeppelin,Misty Mountain Hop
Des'ree,You Gotta Be
Machine Gun Kelly,Invincible
ScHoolboy Q,Yay Yay
Shawn Mendes,Never Be Alone
Jamiroquai,Virtual Insanity - Remastered
Luke Bryan,What Makes You Country
George Strait,Let It Go
M83,Go! (feat. Mai Lan)
Destiny's Child,Cater 2 U
P!nk,What About Us
Darius Rucker,Don't Think I Don't Think About It
Jet,Look What You've Done
Grateful Dead,Touch Of Grey
Ja Rule,Livin' It Up
Florida Georgia Line,It'z Just What We Do
Disturbing Tha Peace,Move Bitch
Gyyps,Canoga Park
One Direction,Right Now
Ice Cube,You Know How We Do It
Ed Sheeran,Hearts Don't Break Around Here
Fleetwood Mac,Gold Dust Woman - 2004 Remastered Edition
Bryson Tiller,Money Problems / Benz Truck
David Guetta,I Can Only Imagine (feat. Chris Brown & Lil Wayne) - feat. Chris Brown & Lil Wayne
38 Special,Caught Up In You
Young Thug,2 Bitches
R. Kelly,Thoia Thoing
Hilary Duff,Beat Of My Heart
Future,Lie to Me
Ed Sheeran,Small Bump
Marc E. Bassy,Morning
Panic! At The Disco,Nicotine
HAIM,Forever
Justin Timberlake,LoveStoned / I Think She Knows (Interlude)
Eminem,Stronger Than I Was
Selena,Como La Flor
Wiz Khalifa,Rooftops (feat. Curren$y) - feat. Curren$y
Bowling For Soup,Almost
Thin Lizzy,Jailbreak
David Nail,Kiss You Tonight
Electric Youth,A Real Hero
Wiz Khalifa,House In The Hills (feat. Curren$y)
Wintertime,Thru It All - Remix
Vince Staples,Señorita
All Time Low,Damned If I Do Ya (Damned If I Don't)
The Beatles,Something - Remastered
Elliot Moss,Slip
The Smashing Pumpkins,Today
Rush,Working Man
Gwen Stefani,Cool
Meek Mill,Pullin Up (feat. The Weeknd)
Jason Derulo,Don't Wanna Go Home
Big Sean,Owe Me
Quinn XCII,Bootleggin'
Jessie J,Do It Like A Dude
2 Chainz,Day Party
Pras,Ghetto Supastar (That is What You Are)
Jake Owen,Surefire Feeling
Enrique Iglesias,Hero
Hannah Montana,One In A Million
Montana of 300,Fuck Her Brains Out
Roy Woods,Why
Kenny Chesney,She's Got It All
Jefferson Airplane,Somebody to Love
Hardo,Today's A Good Day
Jack Ü,Where Are Ü Now (with Justin Bieber) - Marshmello Remix
Kanye West,Guilt Trip
Creedence Clearwater Revival,I Heard It Through The Grapevine
NAV,I Don't Care
Al Green,Love and Happiness
Avicii,Without You (feat. Sandro Cavazza)
The Killers,Spaceman
Timeflies,Monsters
Coldplay,Fun (feat. Tove Lo)
Muse,Knights Of Cydonia
Mikky Ekko,Smile
John Mayer,Wildfire
Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper]
Wale,One Reason (Flex) [feat. Eric Bellinger]
Kenny Chesney,Shiftwork - Duet With George Strait
Playboi Carti,dothatshit!
Tyler Farr,Withdrawals
Blues Traveler,Hook
DeJ Loaf,Hey There
Mötley Crüe,Looks That Kill
Drake,Successful
The xx,Islands
Drake,Skepta Interlude
T.I.,Go Get It
Travis Scott,the ends
Jeremih,"Don't Get Much Better (with Jeremih, Ty Dolla $ign & Sage The Gemini)"
Ro Ransom,See Me Fall - Y2K Remix
Savage Garden,I Want You
The Doors,"Hello, I Love You"
Rihanna,James Joint
Frankie Ballard,Drinky Drink
Prince Royce,Back It Up
Ed Sheeran,Shirtsleeves
Procol Harum,A Whiter Shade Of Pale
Lawrence Taylor,Bang Bang
Solange,Cranes in the Sky
Nirvana,About A Girl
Sigala,Give Me Your Love - Radio Edit
Miley Cyrus,Start All Over
fun.,Sight Of The Sun
Alan Jackson,It Must Be Love
Kendrick Lamar,Hol' Up
Selena Gomez,Everything Is Not As It Seems - Series Theme Song
Tag Team,Whoomp! There It Is
Staind,So Far Away
Justin Bieber,Die In Your Arms
21 Savage,Famous
Luke Bryan,Razor Blade
Jonas Brothers,That's Just The Way We Roll
Party Favor,Give It To Me Twice (feat. Sean Kingston & Rich The Kid)
Coldplay,Princess of China
Bruno Mars,If I Knew
Michael Jackson,Rock with You - Single Version
DJ Snake,Let Me Love You - R3hab Remix
Petey Pablo,Raise Up
AC/DC,Shoot to Thrill
Russ,We Just Havent Met Yet
Michelle Branch,All You Wanted
Jason Aldean,Two Night Town
George Ezra,Leaving It Up to You
The White Stripes,Blue Orchid
Bob Marley & The Wailers,Is This Love - Remix
Zac Brown Band,Jolene
Kid Ink,Rewind
La Bouche,Be My Lover
Justin Bieber,Boyfriend - Acoustic Version
Ro Ransom,See Me Fall (Feat. Kensei Abbot)
Dylan Scott,Crazy Over Me
Keith Urban,Somewhere In My Car
Ed Sheeran,"You Need Me, I Don't Need You"
Coldplay,Everglow
Zac Brown Band,Heavy Is the Head
Halsey,Hurricane - Arty Remix
Brad Paisley,Online
Foo Fighters,Something from Nothing
Miley Cyrus,Hoedown Throwdown
Ray J,I Hit It First
Shawn Mendes,Roses
Dem Franchize Boyz,White Tee
Daniel Caesar,Get You (feat. Kali Uchis)
Panic! At The Disco,Ready to Go [Get Me Out Of My Mind]
G-Eazy,"Saw It Coming (from the ""Ghostbusters"" Original Motion Picture Soundtrack)"
Chris Stapleton,Broken Halos
Steve Earle,Copperhead Road
Tiësto,Secrets - Radio Edit
Zac Brown Band,Young And Wild
Skillet,Feel Invincible
Bruno Mars,Talking To The Moon
Phoenix,Entertainment
Drake,30 for 30 Freestyle
Ryan Cabrera,On The Way Down
Missy Elliott,Bomb Intro / Pass That Dutch
Coolio,Fantastic Voyage
Chris Brown,Don't Think They Know
Paul McCartney,Live And Let Die
Parachute,She Is Love
38 Special,Rockin' Into The Night
KAYTRANADA,YOU'RE THE ONE
Tyga,Happy Birthday
Sublime,Waiting For My Ruca
Taylor Swift,Wildest Dreams
Aminé,Wedding Crashers
Jake Owen,What We Ain't Got
Kesha,Grow A Pear
Taylor Swift,Forever & Always
Mike Posner,Be As You Are - JordanXL Remix
JAY Z,Izzo (H.O.V.A.)
Def Leppard,Hysteria 2013 (Re-Recorded Version) - Single
B.o.B,Bombs Away (feat. Morgan Freeman) - feat. Morgan Freeman
Swedish House Mafia,One (Your Name) [feat. Pharrell]
T.I.,Rubber Band Man
Skillet,Comatose
Coldplay,Lovers In Japan
Three Days Grace,Painkiller
Dirty Heads,Dance All Night
Tom Cochrane,Life Is A Highway
K CAMP,Good Weed Bad B*tch
David Bowie,Let's Dance - 1999 Remastered Version
Empire Cast,Good Enough (feat. Jussie Smollett)
Joe Jonas,Gotta Find You
Lil Durk,My Beyoncé
Gucci Mane,Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph)
Travis Barker,Let's Go
A Boogie Wit da Hoodie,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again)
Nickelback,Far Away
Michael Jackson,The Girl Is Mine
Meek Mill,B Boy (feat. Big Sean & A$AP Ferg)
Eminem,FACK
Rehab,Bartender (Sittin' At A Bar)
Action Bronson,Standing In The Rain (with Mark Ronson & Dan Auerbach)
The Head and the Heart,Another Story
Kendrick Lamar,i
Alan Jackson,"Tall, Tall Trees"
Halsey,Colors - Audien Remix
Kenny Chesney,Keg in the Closet
Chief Keef,Superheroes (feat. ASAP Rocky)
The Knocks,Classic (feat. POWERS)
Twenty One Pilots,Trapdoor
John Mayer,You're Gonna Live Forever in Me
Gordon Lightfoot,The Wreck Of The Edmund Fitzgerald
ScHoolboy Q,There He Go
Bryson Tiller,502 Come Up
Dustin Lynch,She Cranks My Tractor
Joey Purp,Girls @ (feat. Chance the Rapper)
Tiësto,Secrets
Styx,Blue Collar Man (Long Nights)
Jacob Sartorius,Hit or Miss
Taylor Swift,White Horse
O.A.R.,That Was A Crazy Game Of Poker
Nick Jonas,Introducing Me
Dave,Wanna Know Remix (feat. Drake)
Wale,Clappers - feat. Nicki Minaj & Juicy J
Lord Huron,Fool for Love
Miranda Lambert,Smokin' and Drinkin' - [feat. Little Big Town]
Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]
Niykee Heaton,Sober
Kanye West,Frank's Track
Nashville Cast,Ho Hey
Electric Light Orchestra,Strange Magic
Chris Brown,Gimme That Remix featuring Lil' Wayne
Kanye West,The Glory
Jeremih,Paris (Who Taught You)
Glen Templeton,Ball Cap
Five Finger Death Punch,Jekyll and Hyde
Speaker Knockerz,Count up (Bonus)
Chase Rice,We Goin' Out
Nicki Minaj,Save Me
Beyoncé,Ring The Alarm
Pentatonix,Hallelujah
Broken Bells,The High Road
Martin Garrix,The Only Way Is Up
Halsey,Young God
Panic! At The Disco,Crazy=Genius
ZAYN,fOoL fOr YoU
Lightshow,Need a Lighter (feat. 21 Savage)
George Ezra,Listen to the Man
Highly Suspect,Lydia
Big Sean,Same Time Pt. 1
Future,Patek Water
Lorde,Yellow Flicker Beat - From The Hunger Games: Mockingjay Part 1
Paramore,Hard Times
Ray LaMontagne,Hold You in My Arms
Hilary Duff,Why Not
Mumford & Sons,After The Storm
Lil Pump,Next (feat. Rich the Kid)
Toby Keith,You Ain't Much Fun
Metallica,Whiskey In The Jar
Angels & Airwaves,The Adventure
Kenny Loggins,"I'm Alright (Theme from ""Caddyshack"")"
Steven Tyler,"RED, WHITE & YOU"
Genesis,That's All - 2007 Remastered Version
Bush,Swallowed - Remastered
The Rolling Stones,Under My Thumb
X Ambassadors,Unsteady - Justin Caruso Remix
Tamia,So Into You
Machine Gun Kelly,Young Man
Creedence Clearwater Revival,Long As I Can See The Light
Halsey,Sorry
Russell Dickerson,Every Little Thing
Roscoe Dash,All The Way Turnt Up
The Killers,Smile Like You Mean It
Breaking Benjamin,Failure
Lil Pump,Lil Pump
U2,Vertigo
Avril Lavigne,The Best Damn Thing
Stromae,Alors On Danse
Demi Lovato,Wouldn't Change A Thing
Phantogram,Fall In Love
DJ Khaled,Major Bag Alert
Garrett Hedlund,Give In to Me
Lionel Richie,Hello
Alicia Keys,You Don't Know My Name
Khalid,Keep Me
Dispatch,The General
Linkin Park,New Divide
The Pussycat Dolls,I Hate This Part
Coldplay,Life In Technicolor ii
Jhene Aiko,Spotless Mind
DREAMERS,Sweet Disaster
E-40,U And Dat (feat. T. Pain & Kandi Girl)
Kanye West,Champion
The Sugarhill Gang,Rapper's Delight
Hunter Hayes,If You Told Me To
NEEDTOBREATHE,HAPPINESS - Acoustic
Keith Ape,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)"
Meek Mill,Outro (feat. Lil Snupe & French Montana)
Sam Smith,Not In That Way
Steve Miller Band,Jungle Love
Janis Joplin,Me and Bobby McGee
T-Pain,Freeze
Lorde,Perfect Places
Nathan Sykes,Over And Over Again
Talking Heads,Burning Down The House (45 Version)
Stevie Wonder,Isn't She Lovely
John Mellencamp,Authority Song
Aloe Blacc,Wake Me Up - Acoustic
The Paper Kites,Bloom - Bonus Track
Ray Charles,Georgia on My Mind
One Direction,No Control
Meek Mill,I Got The Juice
5 Seconds of Summer,Kiss Me Kiss Me
The Weeknd,The Hills - RL Grime Remix
Kelly Clarkson,A Moment Like This
